id	file_name
b8e25c65-06e3-4dc7-8b8c-7a0dad244425	TCGA-AA-3542-01Z-00-DX1.db284d9a-bde5-471c-ac37-5f3216d0f077.svs
677f090e-d6b7-4e5b-8e2c-953ad9416b56	TCGA-AA-3542-01A-02-BS2.ff91df36-3ecf-496c-9b0a-28e2441487d5.svs
063bd28a-1c95-4a04-a932-5a576c9ca1aa	TCGA-AA-3542-01A-01-BS1.036706b0-ec86-4463-96c1-465ffd782cd4.svs
9c332a81-78c5-4c17-a409-da818aa4e42c	TCGA-A6-4107-01A-01-BS1.f013882e-43a8-4e50-971c-3378948734cd.svs
bbf9083c-a7e5-4940-a412-8fe1ead9038f	TCGA-A6-4107-11A-01-BS1.223d0fcb-704e-4933-8cf7-43dacc604917.svs
c66b87bb-49d8-40dc-88ca-a24347af69f9	TCGA-A6-4107-11A-01-TS1.8425e9ee-5910-48cd-aeb4-430e0401ce73.svs
d467f892-035c-4906-abea-c6143c8f8434	TCGA-A6-4107-01Z-00-DX1.89bf3dd5-72a6-49cc-9857-df2c36884029.svs
9baa25bd-c9d1-4280-bc17-43b90fafd4e0	TCGA-A6-4107-01A-02-BS2.80fb73f0-4029-4aa2-91ac-dd35b540e59d.svs
33a4ddef-d89c-4a9d-822d-33d3cf9527e4	TCGA-AA-3845-01Z-00-DX1.20682536-a009-4184-a40b-cb889f37ad32.svs
f1c6091c-3e04-4e67-86d4-e61d8f3f9591	TCGA-AA-3845-01A-01-TS1.ad87b013-8e1a-4a30-92da-e85a39db27b1.svs
6b4b5523-190b-4033-8b99-ebfc679916d9	TCGA-AA-3845-01A-01-BS1.e890d173-5019-460c-b86a-5311276b96b6.svs
9d0ac4ac-d488-4162-8d1b-9d8287d0fe52	TCGA-AA-3980-01Z-00-DX1.93383cb9-59a7-431d-b268-3c3d59a1120e.svs
aa4bc96c-a838-414a-a8b7-56e99027f727	TCGA-AA-3980-01A-02-BS2.32b1615a-f662-47c5-a3f1-5903f23d6610.svs
48ac9e33-0354-4d5f-85fe-502471d8fe01	TCGA-AA-3980-01A-01-BS1.5bd127a6-e264-4b2f-8e17-5f3860cdb858.svs
b5e35b69-16d3-4c1b-8223-2545b6be6fb7	TCGA-AA-3955-01A-02-BS2.8986a2d6-554e-4820-97f7-8b41cc16a2cb.svs
b2fffef0-e0c0-4eea-888f-79ac63199e5e	TCGA-AA-3955-01A-01-BS1.390db0f7-4155-452f-b8ce-04f1b02f43c7.svs
37d511f7-036f-4750-b40e-8ef00a8ecfde	TCGA-AA-3955-01Z-00-DX1.e0eea910-db79-4797-b9db-bb8bfe35306d.svs
a8570f5b-0c51-42bc-9123-f040d5e99d71	TCGA-AA-3679-01A-02-BS2.e04adadb-daf5-437e-a59e-ea6b90a9b3b5.svs
53772800-a81b-4652-a891-6a9898de8283	TCGA-AA-3679-01Z-00-DX1.b3445f8e-b143-4f24-9edd-8abdcb6b139b.svs
f0103890-058c-4473-8d06-a792c5da89c8	TCGA-AA-3679-01A-01-BS1.e4618e62-971f-4914-8e56-94598518ee95.svs
5e328022-a0df-482b-af7f-73eb60877296	TCGA-AA-3856-01A-01-TS1.6477dda3-4021-4629-bd1d-23eee31aea87.svs
09c664da-4544-4b77-b76c-6c012260e046	TCGA-AA-3856-01A-01-BS1.88bb35b2-eae4-4e27-823d-641e10779f22.svs
98b7c182-b122-429c-af4f-45be155b56f8	TCGA-AA-3856-01Z-00-DX1.973974e7-fcfe-4866-bc0c-50645c6c304b.svs
75689647-c068-4d5a-bd1e-fc984cbf71a3	TCGA-AA-A004-01Z-00-DX1.2576461E-7FA3-4CC6-8CC3-58D8E88CE04D.svs
bccfc0fe-ee16-4ee4-be2a-c9bc49c5ef29	TCGA-AA-A004-01A-01-TS1.85cfa74a-705e-438d-a1a4-c0cfbb480f77.svs
796241f5-99e7-4d84-8965-8af2c9b3d920	TCGA-AA-A004-01A-01-MS1.8926906e-f0ea-42d7-b71b-32c5f1f56405.svs
6de522a3-d303-4eb2-8509-94b2b81e0718	TCGA-A6-3808-01A-01-TS1.8adee59d-c5c0-4eb0-a84b-583a382bbc42.svs
e43b2ee3-4b58-4fb1-ab9d-ea4a5739e941	TCGA-A6-3808-11A-01-TS1.de8d5f36-febb-43d5-8f5c-9bc3842e53ff.svs
853bcd1f-0498-4b5c-a0d2-ece8a662c002	TCGA-A6-3808-11A-01-BS1.2874c8d9-010e-4205-a198-23363209be1f.svs
91153f1f-df01-4871-9332-4bf23c1661e0	TCGA-A6-3808-01A-01-BS1.a505f76a-30fb-4de8-8cbd-d8c11036afb3.svs
ce9a87a9-c6e2-43b3-949f-1c6c2922523e	TCGA-A6-3808-01Z-00-DX1.2b5a7ba3-133c-48be-87c6-199c4af208a0.svs
9088ba3c-df7a-473d-a223-7100618640c0	TCGA-AA-3514-01A-02-BS2.40fe9da9-c933-4910-a2d9-06a683181d0c.svs
bb1e244b-3b42-488c-a172-746b6f12539f	TCGA-AA-3514-11A-01-TS1.161c942b-dd3a-402b-8a92-8e66516e102d.svs
