2025-05-07 13:34:50,492 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:34:50,541 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:54,542 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:35:54,589 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:55,187 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3684, already exists.
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3685, already exists.
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3688, already exists.
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3692, already exists.
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3693, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3695, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3696, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3697, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3710, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3712, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3713, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3715, already exists.
2025-05-07 13:35:55,273 - INFO - ✅ Skipping TCGA-AA-3811, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-AA-3812, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-AA-3814, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-G4-6317, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-G4-6320, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-G4-6321, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-G4-6322, already exists.
2025-05-07 13:35:55,274 - INFO - ✅ Skipping TCGA-G4-6323, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G4-6586, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G4-6588, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G4-6625, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G4-6626, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G4-6627, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G4-6628, already exists.
2025-05-07 13:35:55,275 - INFO - ✅ Skipping TCGA-G5-6233, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-G5-6235, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-G5-6572, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-G5-6641, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-NH-A50T, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-NH-A50U, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-NH-A50V, already exists.
