2025-05-07 14:02:29,662 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 14:02:29,711 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 14:02:52,660 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 15:22:22,671 - INFO - ✅ Skipping TCGA-D5-6536, already exists.
2025-05-07 15:22:22,671 - INFO - ✅ Skipping TCGA-D5-6537, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6538, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6539, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6540, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6541, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6898, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6920, already exists.
2025-05-07 15:22:22,672 - INFO - ✅ Skipping TCGA-D5-6922, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6923, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6924, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6926, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6927, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6928, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6929, already exists.
2025-05-07 15:22:22,673 - INFO - ✅ Skipping TCGA-D5-6930, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-D5-6931, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-D5-6932, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-D5-7000, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-DC-4745, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-DC-4749, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-DC-5337, already exists.
2025-05-07 15:22:22,674 - INFO - ✅ Skipping TCGA-DC-5869, already exists.
2025-05-07 15:24:47,522 - INFO - ✅ Saved 6985 embeddings to virchow_features/TCGA-DC-6154.h5
2025-05-07 15:31:11,129 - INFO - ✅ Saved 18715 embeddings to virchow_features/TCGA-DC-6155.h5
2025-05-07 15:35:21,140 - INFO - ✅ Saved 12160 embeddings to virchow_features/TCGA-DC-6156.h5
2025-05-07 15:38:11,393 - INFO - ✅ Saved 8255 embeddings to virchow_features/TCGA-DC-6157.h5
2025-05-07 15:42:51,985 - INFO - ✅ Saved 13692 embeddings to virchow_features/TCGA-DC-6158.h5
2025-05-07 15:47:10,051 - INFO - ✅ Saved 12540 embeddings to virchow_features/TCGA-DC-6160.h5
2025-05-07 15:51:33,654 - INFO - ✅ Saved 12825 embeddings to virchow_features/TCGA-DC-6681.h5
2025-05-07 15:54:16,016 - INFO - ✅ Saved 7865 embeddings to virchow_features/TCGA-DC-6682.h5
2025-05-07 15:57:01,903 - INFO - ✅ Saved 8000 embeddings to virchow_features/TCGA-DC-6683.h5
2025-05-07 16:05:35,262 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 16:05:35,380 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 17:42:02,487 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 17:42:02,725 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 17:42:03,289 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 17:42:03,324 - INFO - ✅ Skipping TCGA-CK-4952, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-5912, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-5913, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-5914, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-5915, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-5916, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-6746, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-6747, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-6748, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CK-6751, already exists.
2025-05-07 17:42:03,325 - INFO - ✅ Skipping TCGA-CL-4957, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CL-5917, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CL-5918, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4743, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4744, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4746, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4747, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4748, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4750, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4751, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-4752, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-5341, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-5344, already exists.
2025-05-07 17:42:03,326 - INFO - ✅ Skipping TCGA-CM-5348, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5349, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5860, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5861, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5862, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5863, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5864, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-5868, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-6161, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-6162, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-6163, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-6164, already exists.
2025-05-07 17:42:03,327 - INFO - ✅ Skipping TCGA-CM-6165, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6166, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6167, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6168, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6169, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6170, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6171, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6172, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6674, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6675, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6676, already exists.
2025-05-07 17:42:03,328 - INFO - ✅ Skipping TCGA-CM-6677, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-CM-6678, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-CM-6679, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-CM-6680, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-5537, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-5538, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-5539, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-5540, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-5541, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-6529, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-6530, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-6531, already exists.
2025-05-07 17:42:03,329 - INFO - ✅ Skipping TCGA-D5-6532, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6533, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6534, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6535, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6536, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6537, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6538, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6539, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6540, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6541, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6898, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6920, already exists.
2025-05-07 17:42:03,330 - INFO - ✅ Skipping TCGA-D5-6922, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6923, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6924, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6926, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6927, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6928, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6929, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6930, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6931, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-6932, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-D5-7000, already exists.
2025-05-07 17:42:03,331 - INFO - ✅ Skipping TCGA-DC-4745, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-4749, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-5337, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-5869, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6154, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6155, already exists.
